n,Heapsort,Quicksort
91800,7612780,86938345
91900,7621930,87564233
92000,7630890,87503910
92100,7639940,87670613
92200,7649060,87871811
92300,7658020,87889260
92400,7667010,87956973
92500,7676080,88327287
92600,7685130,88574326
92700,7694140,88737874
92800,7703230,88934449
92900,7712210,88916275
93000,7721230,89141986
93100,7730340,89713732
93200,7739420,89871396
93300,7748330,89808077
93400,7757510,90058623
93500,7766490,90482001
93600,7775560,90191877
93700,7784620,90660425
93800,7793650,91074438
93900,7802690,90798446
94000,7811750,91187054
94100,7820720,91202308
94200,7829840,91914508
94300,7838880,91717692
94400,7847820,91700549
94500,7856870,92110047
94600,7865890,92307864
94700,7875060,92761813
94800,7884000,92806985
94900,7893010,92812608
95000,7902060,93113119
95100,7911210,93041584
95200,7920190,93601853
95300,7929270,93668539
95400,7938350,94055935
95500,7947350,94585142
95600,7956240,94657613
95700,7965390,94301873
95800,7974440,95118329
95900,7983530,94972787
96000,7992490,94921616
96100,8001500,95390447
96200,8010730,95433681
96300,8019720,95738626
96400,8028730,95894258
96500,8037710,95881250
96600,8046600,96210775
96700,8055820,96412925
96800,8064900,96869854
96900,8073960,96724481
97000,8082910,96866632
97100,8092010,97069323
97200,8101020,97498087
97300,8110010,97468172
97400,8119140,98000332
97500,8128200,97759231
97600,8137160,98280988
97700,8146220,98382539
97800,8155290,98414475
97900,8164380,98853425
98000,8173470,98761904
98100,8182370,99785163
98200,8191520,99315367
98300,8200480,99609798
98400,8209570,99960912
98500,8218620,99900306
98600,8227860,100006277
98700,8236690,100269461
98800,8245780,100543926
98900,8254780,100801027
99000,8263900,100831637
99100,8272930,101028153
99200,8282000,101783410
99300,8291020,101605850
99400,8300000,101818028
99500,8309100,102035701
99600,8318070,102128105
99700,8327220,102398451
99800,8336280,102523490
99900,8345250,102680538
100000,8354270,103133923
